QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 27396680, N, 2000, samples, 10, stdDev, 1315392
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 44030880, N, 2500, samples, 10, stdDev, 6572245
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 61709960, N, 3000, samples, 10, stdDev, 2645584
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 84471200, N, 3500, samples, 10, stdDev, 6507866
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 86556150, N, 4000, samples, 10, stdDev, 14153711
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 136252450, N, 4500, samples, 10, stdDev, 5765587
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 159409340, N, 5000, samples, 10, stdDev, 8226619
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 191427570, N, 5500, samples, 10, stdDev, 7311181
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 216758730, N, 6000, samples, 10, stdDev, 9479692
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 266503800, N, 6500, samples, 10, stdDev, 16795937
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 297029250, N, 7000, samples, 10, stdDev, 24777533
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 341862950, N, 7500, samples, 10, stdDev, 20914113
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 389454450, N, 8000, samples, 10, stdDev, 20293883
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 452682940, N, 8500, samples, 10, stdDev, 28061031
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 497139170, N, 9000, samples, 10, stdDev, 26483356
QuickSort Algorithm (Median of three as Pivot), Descending Data, T[ns], 563106950, N, 9500, samples, 10, stdDev, 30792779
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 630110, N, 1000, samples, 10, stdDev, 50637
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 28344900, N, 10000, samples, 10, stdDev, 6713955
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 32591820, N, 10500, samples, 10, stdDev, 9024688
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 1087180, N, 1500, samples, 10, stdDev, 166486
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 1479360, N, 2000, samples, 10, stdDev, 98219
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 2016580, N, 2500, samples, 10, stdDev, 87630
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 2687970, N, 3000, samples, 10, stdDev, 290138
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 3858190, N, 3500, samples, 10, stdDev, 408166
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 4692780, N, 4000, samples, 10, stdDev, 634899
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 6383440, N, 4500, samples, 10, stdDev, 392535
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 7716460, N, 5000, samples, 10, stdDev, 852363
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 8954610, N, 5500, samples, 10, stdDev, 975981
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 11082320, N, 6000, samples, 10, stdDev, 1943498
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 12318460, N, 6500, samples, 10, stdDev, 2025735
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 15390920, N, 7000, samples, 10, stdDev, 3652759
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 17796300, N, 7500, samples, 10, stdDev, 4380363
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 18282640, N, 8000, samples, 10, stdDev, 4349983
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 21242970, N, 8500, samples, 10, stdDev, 5057737
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 29081440, N, 9000, samples, 10, stdDev, 5077289
QuickSort Algorithm (Median of three as Pivot), Random Data, T[ns], 25692960, N, 9500, samples, 10, stdDev, 6437659
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 11133470, N, 1000, samples, 10, stdDev, 6387123
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 886850000, N, 10000, samples, 10, stdDev, 13180463
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 1003575140, N, 10500, samples, 10, stdDev, 17975244
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 19662370, N, 1500, samples, 10, stdDev, 326667
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 34674950, N, 2000, samples, 10, stdDev, 353321
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 54098250, N, 2500, samples, 10, stdDev, 789945
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 80765030, N, 3000, samples, 10, stdDev, 6259441
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 105873680, N, 3500, samples, 10, stdDev, 9944462
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 117356450, N, 4000, samples, 10, stdDev, 10997111
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 173307210, N, 4500, samples, 10, stdDev, 10601245
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 215167000, N, 5000, samples, 10, stdDev, 6729200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 252722840, N, 5500, samples, 10, stdDev, 7622492
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 301519970, N, 6000, samples, 10, stdDev, 7453797
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 363307590, N, 6500, samples, 10, stdDev, 18715728
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 411423680, N, 7000, samples, 10, stdDev, 13796619
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 479198290, N, 7500, samples, 10, stdDev, 16678274
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 544354790, N, 8000, samples, 10, stdDev, 16313206
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 636223660, N, 8500, samples, 10, stdDev, 31958344
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, T[ns], 712941030, N, 9000, samples, 10, stdDev, 14127399
