SelectionSort Algorithm, Descending Data, T[ns], 65371171, N, 3500, samples, 7, stdDev, 22384960
SelectionSort Algorithm, Descending Data, T[ns], 72642685, N, 4000, samples, 7, stdDev, 7086926
SelectionSort Algorithm, Descending Data, T[ns], 87627871, N, 4500, samples, 7, stdDev, 2821851
SelectionSort Algorithm, Random Uniform Data, T[ns], 6355300, N, 1000, samples, 7, stdDev, 1182905
SelectionSort Algorithm, Random Uniform Data, T[ns], 11198742, N, 1500, samples, 7, stdDev, 1198025
SelectionSort Algorithm, Random Uniform Data, T[ns], 18791428, N, 2000, samples, 7, stdDev, 638471
SelectionSort Algorithm, Random Uniform Data, T[ns], 28667928, N, 2500, samples, 7, stdDev, 935586
SelectionSort Algorithm, Random Uniform Data, T[ns], 60935785, N, 3000, samples, 7, stdDev, 29412603
SelectionSort Algorithm, Random Uniform Data, T[ns], 56724600, N, 3500, samples, 7, stdDev, 5564290
SelectionSort Algorithm, Random Uniform Data, T[ns], 74520457, N, 4000, samples, 7, stdDev, 8009565
SelectionSort Algorithm, Random Uniform Data, T[ns], 100356857, N, 4500, samples, 7, stdDev, 22278078
std::sort Algorithm, Ascending Data, T[ns], 218457, N, 1000, samples, 7, stdDev, 45605
std::sort Algorithm, Ascending Data, T[ns], 375871, N, 1500, samples, 7, stdDev, 97938
std::sort Algorithm, Ascending Data, T[ns], 502128, N, 2000, samples, 7, stdDev, 138780
std::sort Algorithm, Ascending Data, T[ns], 597642, N, 2500, samples, 7, stdDev, 100326
std::sort Algorithm, Ascending Data, T[ns], 687228, N, 3000, samples, 7, stdDev, 82786
std::sort Algorithm, Ascending Data, T[ns], 927200, N, 3500, samples, 7, stdDev, 210348
std::sort Algorithm, Ascending Data, T[ns], 905957, N, 4000, samples, 7, stdDev, 120196
std::sort Algorithm, Ascending Data, T[ns], 977842, N, 4500, samples, 7, stdDev, 179070
std::sort Algorithm, Constant Data, T[ns], 255128, N, 1000, samples, 7, stdDev, 36522
std::sort Algorithm, Constant Data, T[ns], 466614, N, 1500, samples, 7, stdDev, 169480
std::sort Algorithm, Constant Data, T[ns], 530614, N, 2000, samples, 7, stdDev, 77059
std::sort Algorithm, Constant Data, T[ns], 653042, N, 2500, samples, 7, stdDev, 92413
std::sort Algorithm, Constant Data, T[ns], 916071, N, 3000, samples, 7, stdDev, 338584
std::sort Algorithm, Constant Data, T[ns], 977671, N, 3500, samples, 7, stdDev, 271019
std::sort Algorithm, Constant Data, T[ns], 897171, N, 4000, samples, 7, stdDev, 61316
std::sort Algorithm, Constant Data, T[ns], 1376500, N, 4500, samples, 7, stdDev, 360448
std::sort Algorithm, Descending Data, T[ns], 201400, N, 1000, samples, 7, stdDev, 48309
std::sort Algorithm, Descending Data, T[ns], 342514, N, 1500, samples, 7, stdDev, 77000
std::sort Algorithm, Descending Data, T[ns], 390614, N, 2000, samples, 7, stdDev, 74211
std::sort Algorithm, Descending Data, T[ns], 594585, N, 2500, samples, 7, stdDev, 192411
std::sort Algorithm, Descending Data, T[ns], 716642, N, 3000, samples, 7, stdDev, 325385
std::sort Algorithm, Descending Data, T[ns], 622257, N, 3500, samples, 7, stdDev, 65000
std::sort Algorithm, Descending Data, T[ns], 911157, N, 4000, samples, 7, stdDev, 255818
std::sort Algorithm, Descending Data, T[ns], 922742, N, 4500, samples, 7, stdDev, 167488
std::sort Algorithm, Random Uniform Data, T[ns], 388200, N, 1000, samples, 7, stdDev, 66227
std::sort Algorithm, Random Uniform Data, T[ns], 648714, N, 1500, samples, 7, stdDev, 87425
std::sort Algorithm, Random Uniform Data, T[ns], 775257, N, 2000, samples, 7, stdDev, 89935
std::sort Algorithm, Random Uniform Data, T[ns], 862185, N, 2500, samples, 7, stdDev, 88376
std::sort Algorithm, Random Uniform Data, T[ns], 1079128, N, 3000, samples, 7, stdDev, 150868
std::sort Algorithm, Random Uniform Data, T[ns], 1184485, N, 3500, samples, 7, stdDev, 115097
std::sort Algorithm, Random Uniform Data, T[ns], 1441357, N, 4000, samples, 7, stdDev, 138782
std::sort Algorithm, Random Uniform Data, T[ns], 1794057, N, 4500, samples, 7, stdDev, 297929
